M3_Public_Perf_Inter_Inter_Hard_Toronto: avg_runtime=0.013286399655044079, avg_cost=1694.88623046875
M3_Public_Perf_Inter_Inter_Very_Hard_Toronto: avg_runtime=0.013499771244823933, avg_cost=1792.207763671875
M3_Public_Perf_Inter_Inter_Medium_London_England: avg_runtime=0.059373535215854645, avg_cost=3242.600830078125
M3_Public_Perf_Inter_Inter_Hard_London_England: avg_runtime=0.05705505236983299, avg_cost=3113.558349609375
M3_Public_Perf_Inter_Inter_Very_Hard_London_England: avg_runtime=0.05548594892024994, avg_cost=3113.558349609375

alpha=0.04666666666666667
M3_Public_Func_Inter_Inter_Simple_Legality_Interlaken_Switzerland: avg_runtime=0.0001999969535972923, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Simple_Optimality_Interlaken_Switzerland: avg_runtime=0.00020022068929392844, avg_cost=13.791701316833496
M3_Public_Func_Inter_Inter_Legality_Interlaken_Switzerland: avg_runtime=0.0004761647433042526, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Optimality_Interlaken_Switzerland: avg_runtime=0.0010515674948692322, avg_cost=557.5557861328125
M3_Public_Func_Inter_Inter_Simple_Legality_Toronto_Canada: avg_runtime=0.000347347988281399, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Simple_Optimality_Toronto_Canada: avg_runtime=0.0008283826755359769, avg_cost=13.431527137756348
M3_Public_Func_Inter_Inter_Legality_Toronto_Canada: avg_runtime=0.011320924386382103, avg_cost=1770.5899658203125
M3_Public_Func_Inter_Inter_Optimality_Toronto_Canada: avg_runtime=0.011461589485406876, avg_cost=1752.6807861328125
M3_Public_Func_Inter_Inter_Simple_Legality_London_England: avg_runtime=0.0015390486223623157, avg_cost=18.974651336669922
M3_Public_Func_Inter_Inter_Simple_Optimality_London_England: avg_runtime=0.0004080173675902188, avg_cost=18.974651336669922
